ticker,name,description,sector,industry,revenue_base,revenue_growth,ebitda_margin,ev_ebitda,pe_ratio
ACNT,Ascent Industries Co.,"Ascent Industries Co. an industrials company, produces and sells stainless steel pipe and tube, and specialty chemicals in the United States and internationally. It operates through two segments, Tubular Products and Specialty Chemicals. The Tubular Products segment manufactures and sells welded pipe and tube from stainless steel, duplex, and nickel alloys; and ornamental stainless-steel tubes for the appliance, architectural, automotive and commercial transportation, brewery, chemical, petrochemical, pulp and paper, mining, power generation, water and waste-water treatment, liquid natural gas, food processing, pharmaceutical, oil and gas, and other industries. Its Specialty Chemicals segment produces surfactants, defoamers, lubricating agents, flame retardants, and chemical intermediates, as well as petroleum-derived products and bio-based alternatives for the oil and gas, household, industrial and institutional, personal care, coatings, adhesives, sealants and elastomers (CASE), pulp and paper, textile, automotive, agricultural, water treatment, construction, and other industries. This segment also provides custom manufacturing services ranging from product development to commercial scale production. The company was formerly known as Synalloy Corporation and changed its name to Ascent Industries Co. in August 2022. Ascent Industries Co. was founded in 1945 and is headquartered in Schaumburg, Illinois.",Basic Materials,Steel,174652000,4.670184602175158,0.03706,22.404,
AUGO,Aura Minerals Inc.,"Aura Minerals Inc., a gold and copper production company, focuses on the development and operation of gold and base metal projects in the Americas. It operates through Minosa Mine, Apoena Mine, the Aranzazu Mine, Corporate, Almas Mine, and Borborema Projects segments. The company primarily explores gold, copper, and silver deposits. The company was formerly known as Aura Gold Inc. and changed its name to Aura Minerals Inc. in July 2007. The company was incorporated in 1946 and is headquartered in Coconut Grove, Florida.",Basic Materials,Gold,623889024,3.723640576023259,0.46148998,7.321,
