ticker,name,description,sector,industry,revenue_base,revenue_growth,ebitda_margin,ev_ebitda,pe_ratio
ACDC,ProFrac Holding Corp.,"ProFrac Holding Corp. operates as a technology-focused energy services holding company in the United States. It operates through three segments: Stimulation Services, Proppant Production, and Manufacturing. The company offers hydraulic fracturing, proppant production, well stimulation, in-basin frac sand, and other completion services and complementary products and services to upstream oil and natural gas companies engaged in the exploration and production of unconventional oil and natural gas resources. It also manufactures and sells high horsepower pumps, valves, piping, swivels, large-bore manifold systems, and fluid ends, as well as other auxiliary equipment. The company was founded in 2016 and is headquartered in Willow Park, Texas.",Energy,Oil & Gas Equipment & Services,2209700096,2.8,0.20265,5.464,
ARLP,"Alliance Resource Partners, L.P","Alliance Resource Partners, L.P., a diversified natural resource company, engages in the production and marketing of coal to utilities and industrial users in the United States. The company operates through four segments: Illinois Basin Coal Operations, Appalachia Coal Operations, Oil & Gas Royalties, and Coal Royalties. It produces produce bituminous coal from its underground mines sold to electric power generation and the steel production customers. The company operates seven underground mining complexes in Illinois, Indiana, Kentucky, Maryland, Pennsylvania, and West Virginia. In addition, it owns and leases oil and gas mineral interests and equity interests; and leases its coal mineral reserves and resources to its mining complexes; and leases land and operates a coal loading terminal on the Ohio River at Mt. Vernon, Indiana. Further, the company offers various mining technology products and services, including data network, communication and tracking systems, mining proximity detection systems, industrial collision avoidance systems, and data and analytics software. It also exports its products. The company was founded in 1971 and is headquartered in Tulsa, Oklahoma.",Energy,Thermal Coal,2291591936,2.586757342752844,0.27087,6.211,14.60989
